latitude,longitude,ecoregion_mask
25.0,-125.0,False
25.0,-124.5,False
25.0,-124.0,False
25.0,-123.5,False
25.0,-123.0,False
25.0,-122.5,False
25.0,-122.0,False
25.0,-121.5,False
25.0,-121.0,False
25.0,-120.5,False
25.0,-120.0,False
25.0,-119.5,False
25.0,-119.0,False
25.0,-118.5,False
25.0,-118.0,False
25.0,-117.5,False
25.0,-117.0,False
25.0,-116.5,False
25.0,-116.0,False
25.0,-115.5,False
25.0,-115.0,False
25.0,-114.5,False
25.0,-114.0,False
25.0,-113.5,False
25.0,-113.0,False
25.0,-112.5,False
25.0,-112.0,False
25.0,-111.5,False
25.0,-111.0,False
25.0,-110.5,False
25.0,-110.0,False
25.0,-109.5,False
25.0,-109.0,False
25.0,-108.5,False
25.0,-108.0,False
25.0,-107.5,False
25.0,-107.0,False
25.0,-106.5,False
25.0,-106.0,False
25.0,-105.5,False
25.0,-105.0,False
25.0,-104.5,False
25.0,-104.0,False
25.0,-103.5,False
25.0,-103.0,False
25.0,-102.5,False
25.0,-102.0,False
25.0,-101.5,False
25.0,-101.0,False
25.0,-100.5,True
25.0,-100.0,True
25.0,-99.5,True
25.0,-99.0,True
25.0,-98.5,True
25.0,-98.0,True
25.0,-97.5,True
25.0,-97.0,False
25.0,-96.5,False
25.0,-96.0,False
25.0,-95.5,False
25.0,-95.0,False
25.0,-94.5,False
25.0,-94.0,False
25.0,-93.5,False
25.0,-93.0,False
25.0,-92.5,False
25.0,-92.0,False
25.0,-91.5,False
25.0,-91.0,False
25.0,-90.5,False
25.0,-90.0,False
25.0,-89.5,False
25.0,-89.0,False
25.0,-88.5,False
25.0,-88.0,False
25.0,-87.5,False
25.0,-87.0,False
25.0,-86.5,False
25.0,-86.0,False
25.0,-85.5,False
25.0,-85.0,False
25.0,-84.5,False
25.0,-84.0,False
25.0,-83.5,False
25.0,-83.0,False
25.0,-82.5,False
25.0,-82.0,False
25.0,-81.5,False
25.0,-81.0,False
25.0,-80.5,False
25.0,-80.0,False
25.0,-79.5,False
25.0,-79.0,False
25.0,-78.5,False
25.0,-78.0,False
25.0,-77.5,False
25.0,-77.0,False
25.0,-76.5,False
25.0,-76.0,False
25.0,-75.5,False
25.0,-75.0,False
25.0,-74.5,False
25.0,-74.0,False
25.0,-73.5,False
25.0,-73.0,False
25.0,-72.5,False
25.0,-72.0,False
25.0,-71.5,False
25.0,-71.0,False
25.0,-70.5,False
25.0,-70.0,False
25.0,-69.5,False
25.0,-69.0,False
25.0,-68.5,False
25.0,-68.0,False
25.0,-67.5,False
25.5,-125.0,False
25.5,-124.5,False
25.5,-124.0,False
25.5,-123.5,False
25.5,-123.0,False
25.5,-122.5,False
25.5,-122.0,False
25.5,-121.5,False
25.5,-121.0,False
25.5,-120.5,False
25.5,-120.0,False
25.5,-119.5,False
25.5,-119.0,False
25.5,-118.5,False
25.5,-118.0,False
25.5,-117.5,False
25.5,-117.0,False
25.5,-116.5,False
25.5,-116.0,False
25.5,-115.5,False
25.5,-115.0,False
25.5,-114.5,False
25.5,-114.0,False
25.5,-113.5,False
25.5,-113.0,False
25.5,-112.5,False
25.5,-112.0,False
25.5,-111.5,False
25.5,-111.0,False
25.5,-110.5,False
25.5,-110.0,False
25.5,-109.5,False
